Mike_Brennan_(basketball),Season,Team,Overall,Conference,Standing,Postseason
Mike_Brennan_(basketball),American Eagles (Patriot League) (2013,present)
Mike_Brennan_(basketball),2013,14,American,20,13,13,5,2nd,NCAA 2nd Round
Mike_Brennan_(basketball),2014,15,American,17,16,8,10,T,6th,
Mike_Brennan_(basketball),2015,16,American,12,19,9,9,T,4th,
Mike_Brennan_(basketball),2016,17,American,8,22,5,13,T,9th,
Mike_Brennan_(basketball),2017,18,American,6,24,3,15,10th,
Mike_Brennan_(basketball),2018,19,American,6-4,,
Mike_Brennan_(basketball),American:,69,98 (.413),38,52 (.422),
Mike_Brennan_(basketball),Total:,69,98 (.413),
Mike_Brennan_(basketball),National champion,Postseason invitational champion,Conference regular season champion ,Conference regular season and conference tournament champion,Division regular season champion,Division regular season and conference tournament champion,Conference tournament champion,,
