Scott_Drew,Season,Team,Overall,Conference,Standing,Postseason
Scott_Drew,Valparaiso Crusaders (Mid-Continent Conference) (2002,2003)
Scott_Drew,2002,03,Valparaiso,20,11,12,2,1st,NIT Opening Round
Scott_Drew,Valparaiso:,20,11 (.645),12,2 (.857),
Scott_Drew,Baylor Bears (Big 12 Conference) (2003,present)
Scott_Drew,2003,04,Baylor,8,21,3,13,11th,Ineligible
Scott_Drew,2004,05,Baylor,9,19,1,15,12th,
Scott_Drew,2005,06,Baylor,4,13,4,12,12th,
Scott_Drew,2006,07,Baylor,15,16,4,12,11th,
Scott_Drew,2007,08,Baylor,21,11,9,7,T,4th,NCAA Division I Round of 64
Scott_Drew,2008,09,Baylor,24,15,5,11,9th,NIT Runner-up
Scott_Drew,2009,10,Baylor,28,8,11,5,T,2nd,NCAA Division I Elite Eight
Scott_Drew,2010,11,Baylor,18,13,7,9,T,7th,
Scott_Drew,2011,12,Baylor,30,8,12,6,T,3rd,NCAA Division I Elite Eight
Scott_Drew,2012,13,Baylor,23,14,9,9,T,4th,NIT Champion
Scott_Drew,2013,14,Baylor,26,12,9,9,T,6th,NCAA Division I Sweet 16
Scott_Drew,2014,15,Baylor,24,10,11,7,T,4th,NCAA Division I Round of 64
Scott_Drew,2015,16,Baylor,22,12,10,8,T,5th,NCAA Round of 64
Scott_Drew,2016,17,Baylor,27,8,12,6,T,2nd,NCAA Division I Sweet 16
Scott_Drew,2017,18,Baylor,19,15,8-10,T,6th,NIT Second Round
Scott_Drew,2018,19,Baylor,11-6,3-2,
Scott_Drew,Baylor:,309,201 (.606),118,141 (.456),
Scott_Drew,Total:,329,212 (.608),
Scott_Drew,National champion,Postseason invitational champion,Conference regular season champion ,Conference regular season and conference tournament champion,Division regular season champion,Division regular season and conference tournament champion,Conference tournament champion,,
